#-----------------------------------------------------------------------------
# Date d'extraction : 07/11/2025 - 10h47 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : CCLM4-8-17_MPI-ESM
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 (2037-2056) : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     TMm_yr : Température moyenne annuelle (°C)
#     TX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     TX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     IFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ECARTTMm_yr : Ecart de température moyenne annuelle (°C)
#     ECARTTX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ECARTTX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;Annee;TMm_yr;TX35D_yr;TX30D_yr;IFM40_yr;ECARTTMm_yr;ECARTTX35D_yr;ECARTTX30D_yr;
#-----------------------------------------------------------------------------
14510;48.8234;2.2821;GWL15;2037;11.99;0;5;0;-0.35;-0.5;-3.9;
14510;48.8234;2.2821;GWL15;2038;13.89;0;20;1;1.56;-0.5;11.1;
14510;48.8234;2.2821;GWL15;2039;12.79;4;16;0;0.45;3.5;7.1;
14510;48.8234;2.2821;GWL15;2040;12.83;0;7;0;0.5;-0.5;-1.9;
14510;48.8234;2.2821;GWL15;2041;13.08;0;9;2;0.75;-0.5;0.1;
14510;48.8234;2.2821;GWL15;2042;13.86;11;21;9;1.53;10.5;12.1;
14510;48.8234;2.2821;GWL15;2043;13.78;1;9;0;1.45;0.5;0.1;
14510;48.8234;2.2821;GWL15;2044;13.3;1;6;4;0.97;0.5;-2.9;
14510;48.8234;2.2821;GWL15;2045;13.17;2;14;0;0.84;1.5;5.1;
14510;48.8234;2.2821;GWL15;2046;12.59;0;7;0;0.26;-0.5;-1.9;
14510;48.8234;2.2821;GWL15;2047;13.8;0;6;1;1.47;-0.5;-2.9;
14510;48.8234;2.2821;GWL15;2048;12.98;0;1;0;0.64;-0.5;-7.9;
14510;48.8234;2.2821;GWL15;2049;13.15;2;19;7;0.82;1.5;10.1;
